iter	Passed	Remaining
279	557	1434
280	559	1430
281	560	1426
282	561	1422
283	562	1418
284	563	1414
285	564	1409
286	565	1405
287	566	1401
288	569	1401
289	570	1397
290	572	1393
291	573	1389
292	574	1385
293	575	1381
294	576	1377
295	577	1374
296	579	1370
297	580	1367
298	582	1364
299	583	1361
300	584	1358
301	585	1354
302	587	1350
303	588	1346
304	589	1343
305	590	1339
306	591	1336
307	593	1332
308	594	1329
309	596	1327
310	597	1324
311	598	1320
312	599	1316
313	601	1313
314	602	1311
315	604	1307
316	605	1304
317	606	1301
318	609	1300
319	610	1298
320	612	1294
321	613	1291
322	614	1287
323	615	1284
324	616	1281
325	617	1277
326	619	1274
327	620	1271
328	622	1268
329	623	1265
330	624	1262
331	626	1259
332	627	1256
333	628	1253
334	629	1249
335	630	1246
336	632	1243
337	633	1240
338	634	1237
339	636	1235
340	637	1232
341	638	1229
342	640	1226
343	641	1222
344	642	1219
345	643	1216
346	644	1213
347	645	1210
348	647	1207
349	649	1205
350	650	1202
351	651	1199
352	652	1196
353	654	1193
354	655	1190
355	656	1187
356	657	1184
357	658	1181
358	660	1178
359	661	1176
360	662	1173
361	664	1171
362	665	1167
363	666	1164
364	667	1161
365	669	1158
366	670	1155
367	671	1152
368	672	1149
369	674	1148
370	676	1146
371	677	1143
372	678	1140
373	679	1138
374	681	1135
375	682	1132
376	683	1129
377	684	1126
378	685	1123
379	688	1123
380	689	1120
381	691	1118
382	692	1115
383	693	1112
384	694	1109
385	695	1106
386	696	1103
387	698	1101
388	699	1098
389	701	1097
390	702	1094
391	704	1092
392	705	1089
393	706	1086
394	707	1083
395	708	1081
396	710	1078
397	711	1075
398	712	1073
399	714	1071
400	716	1069
401	717	1067
402	718	1064
403	719	1061
404	720	1059
405	722	1056
406	723	1053
407	724	1051
408	725	1048
409	727	1046
410	728	1044
411	730	1042
412	731	1039
413	732	1037
414	734	1034
415	735	1032
416	736	1029
417	737	1027
418	738	1024
419	741	1023
420	742	1021
421	743	1018
422	744	1015
423	745	1013
424	747	1010
425	748	1008
426	749	1005
427	750	1003
428	751	1000
429	753	998
430	754	996
431	756	994
432	757	991
433	758	989
434	759	986
435	760	983
436	761	981
437	763	979
438	764	976
439	765	974
440	767	972
441	768	970
442	769	967
443	770	965
444	772	963
445	773	960
446	774	958
447	775	955
448	776	953
449	778	951
450	780	949
451	781	947
452	783	945
453	784	943
454	785	940
455	786	938
456	788	936
457	789	934
458	790	931
459	791	929
460	793	928
461	795	925
462	796	923
463	797	921
464	799	919
465	800	916
466	801	914
467	802	912
468	803	909
469	804	907
470	806	905
471	807	903
472	809	901
473	810	899
474	811	897
475	812	894
476	814	892
477	815	890
478	816	887
479	817	885
480	818	883
481	820	881
482	821	879
483	823	877
484	824	875
485	825	873
486	826	871
487	828	868
488	829	866
489	830	864
490	831	861
491	832	859
492	834	858
493	835	856
494	837	854
495	838	851
496	839	849
497	840	847
498	841	845
499	843	843
500	844	840
501	845	838
502	846	836
503	848	835
504	850	833
505	851	831
506	852	828
507	853	826
508	855	824
509	856	822
510	857	820
511	858	818
512	860	817
513	862	815
514	864	813
515	865	811
516	866	809
517	867	807
518	868	805
519	870	803
520	871	800
521	872	798
522	873	797
523	875	795
524	876	793
525	878	791
526	879	789
527	880	787
528	881	784
529	882	782
530	883	780
531	885	778
532	886	776
533	888	775
534	889	773
535	890	771
536	892	769
537	893	766
538	894	764
539	895	762
540	896	760
541	897	758
542	899	756
543	900	755
544	902	753
545	903	751
546	904	749
547	905	747
548	907	745
549	908	743
550	909	741
551	910	738
552	911	737
553	913	735
554	915	733
555	916	731
556	917	729
557	918	727
558	920	725
559	921	723
560	922	721
561	923	719
562	925	718
563	927	716
564	928	715
565	930	713
566	931	711
567	932	709
568	934	707
569	935	705
570	936	703
571	937	701
572	939	700
573	941	698
574	942	696
575	943	694
576	944	692
577	945	690
578	947	688
579	948	686
580	949	684
581	950	682
582	951	680
583	953	679
584	954	677
585	956	675
586	957	673
587	958	671
588	959	669
589	960	667
590	962	665
591	963	663
592	964	661
593	966	660
594	967	658
595	969	656
596	970	655
597	971	653
598	972	651
599	973	649
600	975	647
601	976	645
602	977	643
603	979	642
604	981	640
605	982	638
606	983	636
607	984	634
608	986	633
609	987	631
610	988	629
611	989	627
612	991	625
613	992	624
614	994	622
615	995	620
616	996	618
617	998	616
618	999	615
619	1000	613
620	1001	611
621	1002	609
622	1004	607
623	1005	606
624	1007	604
625	1008	602
626	1009	600
627	1010	598
628	1011	596
629	1013	594
630	1014	593
631	1015	591
632	1016	589
633	1017	587
634	1020	586
635	1021	584
636	1022	582
637	1023	580
638	1025	579
639	1026	577
640	1027	575
641	1028	573
642	1029	571
643	1030	569
644	1032	568
645	1034	566
646	1035	565
647	1036	563
648	1038	561
649	1039	559
650	1040	557
651	1042	556
652	1043	554
653	1045	553
654	1046	551
655	1048	549
656	1049	547
657	1050	546
658	1051	544
659	1052	542
660	1054	540
661	1055	538
662	1056	536
663	1057	535
664	1059	533
665	1061	532
666	1062	530
667	1063	528
668	1064	526
669	1065	524
670	1066	523
671	1068	521
672	1069	519
673	1070	517
674	1072	516
675	1074	514
676	1075	512
677	1076	511
678	1077	509
679	1078	507
680	1079	505
681	1081	504
682	1082	502
683	1083	500
684	1085	499
685	1086	497
686	1087	495
687	1088	493
688	1090	492
689	1091	490
690	1092	488
691	1093	486
692	1094	485
693	1096	483
694	1097	481
695	1099	480
696	1100	478
697	1102	476
698	1103	475
699	1104	473
700	1105	471
701	1106	469
702	1107	468
703	1109	466
704	1110	464
705	1111	462
706	1113	461
707	1114	459
708	1115	457
709	1116	456
710	1117	454
711	1119	452
712	1120	450
713	1121	449
714	1122	447
715	1124	446
716	1125	444
717	1127	442
718	1128	441
719	1129	439
720	1130	437
721	1132	435
722	1133	434
723	1134	432
724	1135	430
725	1137	429
726	1138	427
727	1139	425
728	1141	424
729	1142	422
730	1143	420
731	1144	419
732	1145	417
733	1147	415
734	1148	413
735	1149	412
736	1151	410
737	1152	409
738	1153	407
739	1155	405
740	1156	404
741	1157	402
742	1158	400
743	1159	399
744	1160	397
745	1162	395
746	1164	394
747	1165	392
748	1166	390
749	1167	389
750	1168	387
751	1169	385
752	1170	384
753	1172	382
754	1173	380
755	1174	379
756	1176	377
757	1177	376
758	1179	374
759	1180	372
760	1181	371
761	1182	369
762	1183	367
763	1185	366
764	1186	364
765	1187	362
766	1189	361
767	1191	359
768	1192	358
769	1193	356
770	1195	354
771	1196	353
772	1197	351
773	1198	350
774	1199	348
775	1200	346
776	1202	345
777	1204	343
778	1205	342
779	1206	340
780	1208	338
781	1209	337
782	1210	335
783	1211	333
784	1213	332
785	1214	330
786	1216	329
787	1219	328
788	1221	326
789	1223	325
790	1225	323
791	1266	332
792	1267	330
793	1269	329
794	1271	327
795	1274	326
796	1278	325
797	1280	324
798	1282	322
799	1284	321
800	1287	319
801	1290	318
802	1292	317
803	1293	315
804	1295	313
805	1297	312
806	1299	310
807	1301	309
808	1302	307
809	1304	305
810	1305	304
811	1308	302
812	1309	301
813	1312	299
814	1313	298
815	1315	296
816	1316	294
817	1317	293
818	1319	291
819	1320	289
820	1322	288
821	1324	286
822	1325	285
823	1326	283
824	1328	281
825	1329	280
826	1330	278
827	1332	276
828	1333	275
829	1335	273
830	1337	272
831	1339	270
832	1341	268
833	1342	267
834	1344	265
835	1345	264
836	1347	262
837	1349	260
838	1352	259
839	1353	257
840	1355	256
841	1356	254
842	1358	252
843	1359	251
844	1361	249
845	1363	248
846	1365	246
847	1366	244
848	1367	243
849	1368	241
850	1370	239
851	1371	238
852	1372	236
853	1374	235
854	1376	233
855	1377	231
856	1379	230
857	1380	228
858	1382	226
859	1383	225
860	1384	223
861	1387	222
862	1389	220
863	1390	218
864	1392	217
865	1393	215
866	1394	213
867	1396	212
868	1397	210
869	1398	209
870	1400	207
871	1402	205
872	1403	204
873	1404	202
874	1406	200
875	1407	199
876	1408	197
877	1409	195
878	1411	194
879	1413	192
880	1414	191
881	1416	189
882	1417	187
883	1418	186
884	1420	184
885	1421	182
886	1422	181
887	1425	179
888	1427	178
889	1429	176
890	1430	175
891	1432	173
892	1433	171
893	1434	170
894	1437	168
895	1438	167
896	1440	165
897	1441	163
898	1443	162
899	1444	160
900	1445	158
901	1447	157
902	1449	155
903	1450	154
904	1451	152
905	1453	150
906	1454	149
907	1456	147
908	1457	145
909	1458	144
910	1460	142
911	1461	141
912	1463	139
913	1464	137
914	1466	136
915	1470	134
916	1473	133
917	1475	131
918	1478	130
919	1479	128
920	1480	127
921	1482	125
922	1484	123
923	1485	122
924	1487	120
925	1489	119
926	1490	117
927	1492	115
928	1493	114
929	1494	112
930	1496	110
931	1497	109
932	1499	107
933	1501	106
934	1502	104
935	1504	102
936	1505	101
937	1506	99
938	1508	97
939	1509	96
940	1512	94
941	1514	93
942	1516	91
943	1517	90
944	1518	88
945	1520	86
946	1521	85
947	1522	83
948	1525	81
949	1526	80
950	1528	78
951	1529	77
952	1530	75
953	1532	73
954	1533	72
955	1535	70
956	1536	69
957	1538	67
958	1539	65
959	1541	64
960	1542	62
961	1544	60
962	1545	59
963	1546	57
964	1554	56
965	1556	54
966	1558	53
967	1559	51
968	1561	49
969	1562	48
970	1564	46
971	1565	45
972	1567	43
973	1568	41
974	1569	40
975	1570	38
976	1572	37
977	1573	35
978	1574	33
979	1577	32
980	1579	30
981	1580	28
982	1582	27
983	1583	25
984	1585	24
985	1586	22
986	1587	20
987	1589	19
988	1591	17
989	1593	16
990	1594	14
991	1596	12
992	1597	11
993	1598	9
994	1600	8
995	1601	6
996	1603	4
997	1605	3
998	1606	1
999	1608	0
